52e66b45,8,9,1
c8893962,23,20,5
9e6ccadc,,,
7894efe1,,2,
5df98d93,,9,5
d10a5433,1,,
92a3e07e,3,15,4
b851b93f,19,,
cd5265ac,,,
018a2e0c,13,7,
1d2fba41,1,,1
1ecfc7ab,1,2,
8f4b7882,36,12,4
38e674b6,,1,7
f947213a,,,
23461ce1,,,
66b993e9,15,2,
7880db14,43,21,1
7be34946,7,9,
102f9fd6,,,
5caabead,,,
dad7ca81,7,,
ebddc419,1,10,7
1e4cb979,,,
45ec2af6,,,
9c2c00de,,,
ae314e5b,,,
08c13b2a,,,
c2d8f023,2,,
fefc64a8,,,
74825cd4,,1,
5291d06b,10,28,13
53976e93,,1,
83911024,2,17,
f4c448ec,,,
d25b75c1,,9,
8c79461d,44,6,1
c59e316c,4,1,
14c6171e,1,4,
0a5dfff1,,,
f1ceb509,11,14,17
8134a2b7,,,
c970abe8,5,,
38450b1a,1,1,
8c2dfa66,40,48,55
9848cec9,5,1,
63a9bd31,,4,
1c61f1a9,1,,
7c6635bc,,,
7077e276,,4,
fa66960e,6,1,1
417b0e15,,1,
0ac38409,,,
04961ae3,12,4,
93d5bd94,,16,
12c18af1,3,4,
73479bb1,,,
5d35a0e8,,,
bbceeb3d,,,
faa327ff,,,
391c2e32,5,1,
3ca1d0a2,,4,
bc413290,,1,
761de40d,3,,1
e3dd381b,4,4,1
a1e7c0bf,,,
aeed5fe3,4,1,4
5dd1682a,,2,
950e4407,1,1,
70143b79,,,
589a7fc7,12,8,3
712b409d,,,9
6438ed18,,4,
9f82f167,,,
5f3bfa10,,30,
dcb21e0f,,,
a9e1e7f1,3,,
aa18f994,,,27
4315da8c,,,
ccd5e85a,6,2,
482731ec,7,,
9888504f,23,9,3
f9b0537d,5,,
d9a1e515,,,
723d341e,,4,
54d39c42,57,16,6
bba71f64,4,6,3
d77379e4,,1,
80669985,11,1,9
fe505941,,,
da4e4283,1,1,
441540c9,1,,
c81d8010,,,
f5bc9d97,,1,
4a196e3a,,,
9b427651,6,,
275586ec,16,7,12
e9516f42,11,,
98de08d0,,,1
087e1261,,,
ec61a3b6,12,3,5
3818e07e,138,13,2
8f9d6ff2,4,15,14
d8f529ee,,,
ec71d3bc,1,,
fdb18b26,12,16,2
65916a6e,8,,
46aab542,,,
