CommitId;RefactoringType;RefactoringDetail
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ts : TestObserver<Void> to to : TestObserver<Void> in method public singleCompletable() : void in class io.reactivex.XFlatMapTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ts : TestObserver<Integer> to to : TestObserver<Integer> in method public singleCompletable2() : void in class io.reactivex.XFlatMapTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ts : TestObserver<Integer> to to : TestObserver<Integer> in method public maybeSingle() : void in class io.reactivex.XFlatMapTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ts : TestObserver<Integer> to to : TestObserver<Integer> in method public maybeMaybe() : void in class io.reactivex.XFlatMapTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ts : TestObserver<Void> to to : TestObserver<Void> in method public maybeCompletable() : void in class io.reactivex.XFlatMapTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ts : TestObserver<Void> to to : TestObserver<Void> in method public maybeCompletable2() : void in class io.reactivex.XFlatMapTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ts : TestObserver<Object> to to : TestObserver<Object> in method public subscribeObserverNormal() : void in class io.reactivex.completable.CompletableTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ts : TestObserver<Object> to to : TestObserver<Object> in method public subscribeObserverError() : void in class io.reactivex.completable.CompletableTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ps1 : PublishProcessor<Object> to pp1 : PublishProcessor<Object> in method public ambArrayOneFires() : void in class io.reactivex.completable.CompletableTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ps2 : PublishProcessor<Object> to pp2 : PublishProcessor<Object> in method public ambArrayOneFires() : void in class io.reactivex.completable.CompletableTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ps1 : PublishProcessor<Object> to pp1 : PublishProcessor<Object> in method public ambArrayOneFiresError() : void in class io.reactivex.completable.CompletableTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ps2 : PublishProcessor<Object> to pp2 : PublishProcessor<Object> in method public ambArrayOneFiresError() : void in class io.reactivex.completable.CompletableTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ps1 : PublishProcessor<Object> to pp1 : PublishProcessor<Object> in method public ambArraySecondFires() : void in class io.reactivex.completable.CompletableTest
