sha,Positive,Negative,Final,new,total
6aea3f015ae13878adba889d855871e6d1925158,1,-1,0,,
709ccd6c6f0795ed81dda3432568c866911ced10,2,-1,1,0,
a694145b6775960520dcd3964d9bcf3540fced24,2,-1,1,0,
8b11ea879dd8d1e99a2ba88933a5fe3bdd9a24f6,2,-1,1,2,
ba1f40ffcfaed06bd69c1b9a810790cf47178c1f,2,-1,1,0,
7e503f0e8e51ecb92622f2e0e0547d7406a901de,1,-1,0,,
a1c3ba9c885ac6b069b304f6b18c2bfe37278fdc,2,-1,1,2,
20a72ca2973ebe1ef160baa9d0ebda369c95d438,2,-1,1,0,
30960243f4bb8572cbfa1eeadfbd3f0ea063f1c2,1,-1,0,0,
e71b49caf865966b3670e0671914d1116b043de8,2,-2,0,,
7ba9a3e04aeee3ab691002997e82e55fec40e495,2,-1,1,21,11
39e159f20c09865dcd44281c02806259f37f4b3d,2,-2,0,11,
9f2beac79ca7b95ae2cc90c7c6a1d79f5318b7f9,2,-1,1,0,
b338ffe9f469896187e401caee2e9a9a8fffe28d,2,-1,1,2,
34242e14b6c6d5b31c2dfce17e65410dd2f20d8a,2,-2,0,14,
ec40a5e6c8f0ab39c334a9073692d24b30b414a9,2,-1,1,0,
564c3dc45cbf4e9663eb22e8878ee31054c8e6f4,2,-1,1,3,
0bab46d4a974fd0514fc2dc97414d259d1e0689e,2,-1,1,0,
53d5a235f63ca143c11571cd538ad927c0f8f3ad,2,-1,1,,
4d2e8212ac97f0c6c380802cec92764e8d8bbde1,2,-1,1,11,
30905fc4264d8aa3d7e8db0acab4c39cf8e7de7b,2,-1,1,0,
d20b17e7741d9e77d8d45059e0d96823cacc8118,2,-1,1,4,
860e39ea2de222ef65992bcc5a6b04e752c2e08f,2,-1,1,0,
5f1542be404517a6deda109dd4493cdf5197a3f9,2,-1,1,0,
d2fe631f3f05dd12eac2b8e53d6525e9acb474a3,2,-1,1,15,1
c9af67b62a1b7b55c3f28b52fb230cc7e378b0d6,1,-1,0,,
9564121e09616df909c2d23c4bba62734217bdd6,1,-1,0,32,1
e25be7c048f874814e1f940fa5dcd62724cc95bd,2,-1,1,0,
ed5cd8bb69bf07bcec9c3e0107aae28d66d8e7a8,1,-1,0,0,
fd4377f62dcaf2baa35e3b5fe4c9ddd2bda6bdb3,2,-1,1,,
85ceeb57683c4c7ba3ad570cf764771e1a585aa3,1,-1,0,,
6a44e5d0543a48f1c378dc833a155f3f71333bc2,2,-1,1,35,
9521512c0f0c980f074ec5b0fbfe954b00c56f1d,2,-2,0,19,
b99efbfb71d3a76befccd4e36324cefadeefd65a,2,-1,1,0,33
205375dee0062a0d8aa0d9cf86436919aebdabfb,1,-1,0,0,
bab4e8b8ec3c9463c3f932b7171fad259074a534,2,-1,1,0,
da380362afe82b9b77b14952309a156cfda0a152,2,-1,1,0,
07ddc7a95a8198929d4f09aaf0b84b9581178472,2,-1,1,0,
3f9ffae961506ba560a8d43e936a94eb5f563d3c,2,-1,1,0,
1099084407654f8601bf62986df1248bd5162312,1,-1,0,0,
0a6c9f5bdce537c88e8215f72176195e6f512602,1,-1,0,0,4
98ee8bc7be8777c91252f525d46286414608b702,2,-1,1,12,
283ca57f3ac4e7cfe4743b833d3c3092a39b6818,1,-1,0,,
615e541fc221f09d0f68f7851cb3d3af2d6ffeab,1,-1,0,,
aff44822dd2d7b74091d2f351b1cb08ff87b30fd,2,-1,1,0,
e7a3f12a7f9472680963596780cbcc6382481d0f,2,-1,1,0,
0f4a5e77cb7858cc8b166f4083ef2ba48f803557,2,-2,0,21,
ddd9b67f7e4848a16c491f495876dfd2f890d499,2,-1,1,8,
1ad6647319e3a6ecfbf96d942611d253d58301ca,2,-1,1,12,
b0bc478fbbb8f01aab8678b3eb846d9b6c3d098b,2,-1,1,8,
7f2ceb419674fc53452cf6d0577d3cb6dda22cec,2,-2,0,8,
cd6bc08c5bf1faea7cd36800c4e85cedd2f684c5,1,-1,0,0,
5387e206af84b2dea77ecb1ed552b16dc1aed2c8,2,-2,0,33,6
bffc7f2944749b384426e4fb2c6b9ae087603d76,1,-2,-1,,
e02cb58f6ca1c96e025a9a6970f66fa56ae769c0,1,-1,0,,
54e98620ede2d51232d577b0a6d4307f76cfc466,1,-2,-1,0,
1b0cd2a40a45ec57e0b6ccf961f084a30c3165c7,2,-1,1,3,
3abd86a52446b1c82115329e43f4b5fc840bec50,2,-1,1,0,
e1cb606ab23590c6537af7f6c53dd72d01618dc1,3,-1,2,38,
bb1e313a8ba4954ee187f9572b418176c901bfc2,2,-1,1,0,
748fb50f63b9239350d1d02c76667fde61a5f78b,2,-1,1,,
4f10ad8e3db7729070ec55f17c1d3ea9c23ff6d0,1,-1,0,,
831f6c8d171015974f1285e46ad4c55828ec0fc5,2,-1,1,,
89581b46ba676c97fc987518d72c054e8b7d00b9,2,-1,1,0,
182de289450e3a0ea8081dbd1efd617f15f700b8,1,-1,0,,
3e11dc0609bf6267be381c4723bba0f13769eb1c,1,-1,0,1,
126e7b52d0127d5e9c749f7e2c52a8de16ba9efc,2,-1,1,,
ddc86403de6c12c3bf76c8c25941e2d4700c0a63,2,-1,1,,
c40be8ea3f823fbe9b77eef0c5d0f03fc6af7774,2,-1,1,,
da922d22ba731663d57abd23f468c92c5ddfe72d,2,-1,1,0,1
ea4d43a7967e0db8425528289a870345ab985f71,2,-2,0,60,
8c5bd1d586132ecf009731a8c74f893976484499,2,-2,0,0,
ad8ca8e587be6f7836e5c76707248ac955af54e3,2,-2,0,3,1
15fea59b8d890174d1339818f98fb391b5647cfe,2,-2,0,0,
421f98e5a189dc60b4bc6f35523c78cb7731d345,1,-1,0,0,
3e3300049dff23b15fa7f6639c844615a0b76f81,1,-1,0,,
41c0a07297446dd5534b04d8aae640c8ec9212c5,2,-2,0,6,
8c60d9d48f1d2aa4c37dc3c933ff616a3076ec20,1,-1,0,0,
99a620a38c38e5010dc5bcc338a13555b3ccb727,1,-1,0,15,
797301b2b90944a6e7d0354cd99df2ebfac40201,2,-1,1,0,
9b037c766ef6f40eba72b5e50c079a9b8a2edd47,2,-2,0,10,
c43229b6793a698c03293cd35b7c8516029ef02b,1,-1,0,15,
14bebc511b242d38f1956544a86265a6f48e489d,1,-1,0,0,
ad8cd0cf7b1eafd7158eb3f68040f51e8f35e54e,1,-2,-1,,
92238a749ecf5e67d05591cb9acdbf76aa19a0bb,1,-1,0,,
994c65d2e680cb820c8140890b37c8428aeb1263,2,-1,1,8,
ea7ca2c81573c56274163ad3e51d8cc07573e170,2,-1,1,4,3
357fac2ebe43029282ff356fa2dfb72b51982104,1,-1,0,,
7cd552ce9c12545b64d51a03e2e494ce9d2f41ff,1,-1,0,0,
0d0c38c49806e333d9f573eaf7dc9b993ff5b31d,2,-2,0,,
f61b2299d03baf16b5838510c42e1b4345db4a6e,2,-1,1,0,
5242cf33000db5238b33e6b82c044e129f22c7cb,2,-2,0,4,
e9a9af33467427210ea2ca798a12c2233e1b732a,2,-2,0,,
ac06c2458280f1da30660e5f6cf6b90e2c1dd01b,2,-1,1,0,
e92822cd4e35f481e506ce7765d2eba67ed075e3,2,-1,1,25,
e4fbe4cfcb3c240d14a42a586eecbbd74cb379d2,1,-1,0,,
29582f0ff39251247648a6447a0e5f0fbfdbb7fc,1,-2,-1,2,
f51cd52c65be3b11a95890dd4aff90717a85daab,2,-1,1,5,
09df08a93165895fb23fea2a39aeb8e00dfb1e3c,2,-2,0,12,3
a85b0dbcacd32715cdf27f48596475011296f9ae,2,-1,1,50,
5d2e8fb4363f18c5cbb247e2d4c6ed1c71527128,2,-1,1,0,
81fe956dc0100dc5b0b5101669a8c326f930f93e,2,-1,1,,6
340bed9cde1525228cc27b32b22e52dbfd9ed080,1,-1,0,1,
cd62d629b3425cc6f73018a42ae63d22982d1b2f,1,-1,0,,
22f31f5b002bb714d7eef943bcca744f03909041,2,-1,1,3,
46ec6a6365ded7f9d96674baf40f7342d76ebdda,1,-1,0,,
3c83ff05bbafd8f090589b1ee0e7d4f75e811219,1,-1,0,0,
cf6f5b887bdd0f2e568c600a94bb931d8969c581,1,-1,0,0,
9b6302a464221f80d19ab2db4c3c3123dc7a590f,2,-1,1,,
27c309f887ef6ed9e8dd22dd8da0ec940dda2396,1,-1,0,0,
01232cb35cf9cfa8796f74a4c6cc386a4973c02c,2,-1,1,0,
6c115a40dab8b4fca9ebfede2f45921f67f90bed,1,-1,0,2,
08be74178a5725dc977b796384383ee38ae134d5,2,-1,1,0,
1327982197a13db62be28c1ad871e8f8a72e873d,2,-2,0,17,
3480eb93090b5fa41014e2f94c8caa259ac226d7,1,-1,0,0,
4d8f008cb6823730b5e25fea559905a811d8ce32,2,-1,1,0,
4ed9c51166b204054de59d48f1b5c844d807add6,2,-2,0,0,
5d6ac534b3af7b885c2e0f877bdffdbef020e85a,1,-1,0,0,
31b41f8d4b0d0534a883a71491ad39f326ebff36,2,-1,1,0,
39e5d91fc936124fa9ac32f3289b3cd37351e576,2,-1,1,7,
4c19753714d7f53f4d78e2b07d56e65732c2adbe,1,-1,0,0,
3656b9bcc380f425d46e6f41829c065b8741faae,1,-1,0,0,
14a83b391e5b6a437421deed38822954540afe7d,1,-2,-1,,
8adfa3f12d9bd664d84800cb3a87b0887f1c8a67,1,-2,-1,,
96e5a605c4c53c38ce96321800d9be5145ccf4b9,2,-1,1,2,
06a06e6ed9bdaac97f5735e87aa2b69861536c51,2,-1,1,2,
7b3172b73dc04767a1defbb107e95a8543200f8d,1,-1,0,,
f82a19743155fe7d2006e239dde24a78712434c0,2,-1,1,4,
73a85c15d35dc748ff41d4a5d37f33cd862ee67b,2,-2,0,0,
b7086efb4a3cf53640075044c98ec3edc906f746,2,-2,0,15,
f64fdd9b3a20db35c492d096de81e63fba25ac16,2,-2,0,1,18
f9881dfbdd92c2a4839049438c4b523c8fa8d662,2,-1,1,27,
84d333e07459d8a786f8a549c0b1f4cd69a8f532,2,-2,0,0,
52ee8ed9e95538238070f1ca4105ae094ea3b5b0,1,-2,-1,0,
42a355a62d320fa2b7c56a78f07646d1bf61f417,1,-1,0,0,
b17bd1a6239f3cc650f14e7b59d2203a37846cf0,1,-1,0,0,
c11f7151201896c161db5fb1da5a1b57674f126a,1,-1,0,0,
a9ef16b32d778cd4ebf727010b2ce6e78a8949c8,1,-1,0,0,
c174c453a0cfb964b628d486216c225bf64cb599,1,-1,0,,
8a62afb5a78b8faa381cd18a3e707d39b7c55419,2,-2,0,3,
a43265f826b79933f77e31045d575a454346a2e8,1,-1,0,0,
2fa773cf4039cfd62d8bf0ec58f1deeb1bf77806,2,-1,1,31,
815c5d2302045e9cf38de373f7456737b17a61d1,1,-1,0,0,
8240d5c7c3418fdd8dc04cc5fd5973dba9fbc2a4,2,-1,1,12,
c507577566e7b3a548d2f8256ca2f144ac14a08c,2,-1,1,8,
0b0355e3bc09326c8005fd26d09e7c1eb4aeb6e3,2,-1,1,0,
c799bc08ade4fb981a2a5b2ad983a0adf1445c23,2,-1,1,0,
