9b44404b,4,1,
34814246,,,
54c281a3,,,
2770e4dd,,2,
1706fe1e,,,
995a6f54,,,
5c58f826,2,,
0fe6e554,6,6,
f363ef0e,3,,2
88aa8540,,,
f671b57b,,,
8a6bf14f,23,18,1
e25ab244,29,14,16
a5d99b72,35,6,7
4bc516c0,245,,
90bca55c,68,8,6
ab520503,630,245,590
5f4daa9e,1,,
7646371a,26,7,
4e50ea49,9,2,
7bdcb594,2,5,
5e5d5a27,41,3,3
92812812,28,34,3
3aae12e3,14,27,1
2edea6b8,6,1,1
95dde6fb,,,
e3f38ecd,,,
cb05a261,177,25,66
51dd03b4,4,,
3ba1d35d,34,20,1
9f2c4357,88,26,22
855153e7,85,15,37
a267d7ef,96,16,37
0ea2c957,194,38,16
f6f6d827,409,6,13
ebab9030,,,
d3ed2690,158,,
44fb7cd2,92,,
137dfe14,39,,
84004a61,44,,
80684041,4,,
5f452559,1,1,
3346ff9a,1,,
237084f1,,,
10210e61,,1,
d6345dc9,18,6,2
0f73283c,,,
7ede8ee2,232,4,
4227a590,,,
f74504f5,10,765,20
12c0e301,95,4,4
ba79413b,,,2
f6240016,4,,4
2875fefd,,,
f7a28703,3,,3
363f0381,,,
68f94f09,,,
d8f61535,,,
e76a4765,22,5,2
1fbc44fb,,,
421b9a4e,,,
b8380e21,,,
3f6e5951,,,
bcc419cc,2,,2
eb426fd0,56,8,17
aa313309,,,
31ab1403,,,
7194f3ec,14,,8
f00533c9,13,,
2adb1fa6,,,
1ed3e5ea,,,
732927c4,,,
bc1c705e,2,,2
d91ee5a6,27,35,4
4fd16ee9,13,6,9
709ccd6c,,,
a694145b,,,
8b11ea87,2,,2
ba1f40ff,,,
a1c3ba9c,2,,2
20a72ca2,,,
30960243,,,
7ba9a3e0,21,20,33
39e159f2,11,4,7
9f2beac7,,,
b338ffe9,2,26,2
34242e14,14,11,
ec40a5e6,,,
564c3dc4,3,3,
0bab46d4,,,
4d2e8212,11,,
30905fc4,,,
d20b17e7,4,,
860e39ea,,,2
5f1542be,,,
d2fe631f,15,,
9564121e,32,,1
e25be7c0,,,
ed5cd8bb,,,
6a44e5d0,35,10,
9521512c,19,2,
b99efbfb,,30,
205375de,,,
bab4e8b8,,,
da380362,,,
07ddc7a9,,,
3f9ffae9,,,
10990844,,,
0a6c9f5b,,,3
98ee8bc7,12,2,
aff44822,,,
e7a3f12a,,,
0f4a5e77,21,9,
ddd9b67f,8,2,2
1ad66473,12,,
b0bc478f,8,4,
7f2ceb41,8,1,
cd6bc08c,,2,
5387e206,33,11,56
54e98620,,10,
1b0cd2a4,3,2,
3abd86a5,,,
e1cb606a,38,2,
bb1e313a,,,
89581b46,,,
3e11dc06,1,,1
da922d22,,,
ea4d43a7,60,,
8c5bd1d5,,,
ad8ca8e5,3,12,
15fea59b,,,
421f98e5,,,3
41c0a072,6,2,2
8c60d9d4,,,
99a620a3,15,,
797301b2,,1,2
9b037c76,10,,1
c43229b6,15,,
14bebc51,,,
994c65d2,8,,
ea7ca2c8,4,5,3
7cd552ce,,,
f61b2299,,2,
5242cf33,4,,
ac06c245,,,
e92822cd,25,,
29582f0f,2,,
f51cd52c,5,5,1
09df08a9,12,2,2
a85b0dbc,50,16,39
5d2e8fb4,,,
340bed9c,1,1,2
22f31f5b,3,27,2
3c83ff05,,,
