sha,Positive,Negative,Final,new
f621e426c7b2dc0d6fdae81da9ddaff763ac617b,1,-2,-1,8
a5ac7b74a5beb36b99a8c79bbd47e20ec91726f5,1,-2,-1,1
c0cec2cef90ea805c409e94aca6dcec204cf5e14,1,-2,-1,4
23b865bf258919bb22fdacfca01fc8fe9bddd896,1,-2,-1,2
ae66434b1f128b8227d095b13d775f1ba1eb377f,1,-2,-1,16
75133372800c38304c466c16b6601f11810871b1,2,-1,1,8
880cd9b428b3e16ca71e474068e46536f6991639,1,-2,-1,17
ce5df26edbe70a5b7b1e731ad646880fc310eb61,1,-2,-1,1
ac17bfe4b48287e1dad6813f0d00ea6e858ef05b,2,-1,1,3
b8698da162050b38b3f1f8bf4dd9c54cdb78ea90,1,-2,-1,5
4e7f4765175a06ea6b0dfb55c3af0755380f2f03,1,-2,-1,1
a50c4b3fdd406a31910aaa63d85a78db51f5e0a5,1,-2,-1,8
322d9f489876a741fa711576fd2a826e6f4a44c6,1,-2,-1,1
22319d36636000ea8d7aabe754e3c0adad2f0ad9,2,-1,1,2
67801f23cb5d61aab947ad703a475a190fed3083,1,-2,-1,8
a1418083e75dd7da35371004fab072ec46d90aef,1,-2,-1,2
58b63893f9b05b328c4310b15b0b8cb064761bd6,1,-2,-1,9
47b0d1db83ecc1b29ae1126747eec07a94d75111,1,-2,-1,1
076c6a8b5a2b7dd2e3103528bd72961a8cebb14b,1,-2,-1,3
7544315bf5c6bce2f7f7c439ada92fdb3273b2fd,1,-3,-2,4
47adb59885b5fe31623853405172b47dcaec1dd8,1,-2,-1,5
7d9f9efbe34bd490236f169e6db8589831ce5135,3,-1,2,10
865fd487007a5bbbf2584cbb6587523794e9234f,2,-1,1,4
6c616bd0672b89376a224d4198ff34b966c54d5f,1,-2,-1,24
17c15aece669fce0bed39065aa582b08d0bf1cf0,2,-1,1,1
cd5490f439eb248fdac0a0372c6a198979ac3085,3,-1,2,4
1ebfe306c67abd52a51b6fc2dc46e4ec4897cb8d,1,-2,-1,1
233dec3bfb6a7069ec631da9e6bb970dd14782ce,2,-1,1,34
c51d94af1a6bbde66b2dac6b2188235ee73b1244,3,-2,1,58
c398c318b2c3e0cfe300e59a0f07ec73a56f01fb,1,-2,-1,10
f4934cc199972cb9ee2386091bec4103cec5b767,1,-2,-1,3
07b2015371b955e96938836ca9af9c22814136eb,1,-2,-1,2
d69abd452a5dce99b69099fbb53e43820af063ce,1,-2,-1,6
cbc224b0cc5e128274366ac171b2f3c9453f3c15,2,-1,1,13
4fa6144f44136f60427245671481ac68d21e670b,2,-1,1,1
