02098f79,,,
1fb41673,1,,
6a41b7a8,10,5,3
707f2ede,3,41,12
4d6b1062,5,9,3
e3056087,1,1,
fba9bb9e,5,5,8
bae2527c,,9,
b8c4b8b9,,6,
7707a621,,1,
b55fc23e,,8,
1f590cb2,,1,
fea44ab1,43,,
05581db7,2,5,
109c2118,2,1,
815e043f,3,2,
620500d5,2,1,
4acf5338,5,2,1
e735f2cf,1,,
45864daa,,2,
dd097e87,,,
b8f6c8f5,2,11,1
18bec95e,,2,
3a099b3f,,1,
4b15f9d4,,,1
3f9cf225,2,1,
a4da9532,2,3,
edf81174,1,,1
d23d65d9,3,,
898118bd,66,,
2c1609bd,2,2,
6cbb818d,,,
cf15055b,,,2
6e5c9c5a,107,,
6d69f4db,3,,
3bba1df9,,,
9106a3b3,20,1,5
2199346a,,,3
6e6671fc,32,5,
e40ed6c8,2,,
9cf696f8,5,,4
2db25cdb,,,
d0efdc2c,5,12,10
d1e38947,,,
778ff8c9,,6,4
450e23e3,129,32,5
7f7b855d,,1,
4a82069a,,,
29b46a5b,,,
d674b0c0,2,2,
8bee1f55,,,
502fd326,54,150,28
babd4660,15,2,9
5e117184,,8,6
a1f4b338,2,4,
4e9b6adf,7,,
98fa28a6,59,,
bbdefb3c,3,3,
bce2c94d,27,1,1
907e48e2,3,1,3
923496e3,23,,
27aafafc,1,,
c586517f,2,2,
c67186a2,4,6,
d66e51fd,,,
9b35878c,1,6,
f80cd084,,2,
1f2f0402,,,
e8f7f6c8,,,
68812fa4,1,,
b89ea487,1,,
9c8975ff,5,,
30f5cfe1,13,2,
393827d7,,,
53cf2a5f,5,7,1
bb6209d0,2,,
ea2f1230,13,,
545a598e,1,2,
5ba6a1b0,1,,
c28ca30d,,3,7
b15b6eec,15,,
a68f1db8,,,
00ec17f2,1,1,
f7d2cd8e,14,7,
30d83f07,2,,
42d12aed,,,
05ffc59d,16,,
91f34218,,,
9301fbf8,13,,
b6097f2e,7,1,2
865cafd4,,1,
3e97b845,1,2,
e2756757,3,1,1
76d87f47,,,
5e5a5ffb,5,,
223be464,,1,
fc72f6ab,,,36
223f9c15,2,1,
5126671c,6,4,1
10dad0fa,1,2,
bb0e6fed,37,5,
