CommitId;RefactoringType;RefactoringDetail
acde36033e93536da7a8d9b1ca9d20289d2d20b0;Rename Variable;Rename Variable	snapshotManager : SnapshotManager to revokingDatabase : RevokingDatabase in method public main(args String[]) : void in class org.tron.program.FullNode
ee06c490f0aa7925a62ed2feefe3e5025bc87373;Rename Class;Rename Class	org.tron.core.db.AccountIndexStoreTest renamed to org.tron.core.db.AccountIdIndexStoreTest
ee06c490f0aa7925a62ed2feefe3e5025bc87373;Rename Class;Rename Class	org.tron.core.db.AccountIndexStore renamed to org.tron.core.db.AccountIdIndexStore
ee06c490f0aa7925a62ed2feefe3e5025bc87373;Rename Variable;Rename Variable	accountIndexStore : AccountIndexStore to accountIdIndexStore : AccountIdIndexStore in method public getAccountById(account Account) : Account in class org.tron.core.Wallet
ee06c490f0aa7925a62ed2feefe3e5025bc87373;Rename Variable;Rename Variable	accountIndexStore : AccountIndexStore to accountIdIndexStore : AccountIdIndexStore in method public execute(ret TransactionResultCapsule) : boolean in class org.tron.core.actuator.SetAccountIdActuator
ee06c490f0aa7925a62ed2feefe3e5025bc87373;Rename Method;Rename Method	public getAccountIndexStore() : AccountIndexStore renamed to public getAccountIdIndexStore() : AccountIdIndexStore in class org.tron.core.db.Manager
ee06c490f0aa7925a62ed2feefe3e5025bc87373;Rename Method;Rename Method	public setAccountIndexStore(indexStore AccountIndexStore) : void renamed to public setAccountIdIndexStore(indexStore AccountIdIndexStore) : void in class org.tron.core.db.Manager
b3b1de20251edeeac3d88dfdbe4fba47ce8a5d32;Rename Parameter;Rename Parameter	key : byte[] to value : byte[] in method public of(value byte[]) : T in class org.tron.core.db.TronStoreWithRevoking
c1fd58c5c24527c09fa645ab1be75ae072585d53;Push Down Method;Push Down Method	public retreat() : Snapshot from class org.tron.core.db2.core.AbstractSnapshot to public retreat() : Snapshot from class org.tron.core.db2.core.SnapshotImpl
7425f414de04b0a0a2ff250a9411de83f9cecedb;Rename Method;Rename Method	public greaterOrEqual(bytes1 byte[], bytes2 byte[]) : boolean renamed to public greaterOrEquals(bytes1 byte[], bytes2 byte[]) : boolean in class org.tron.common.utils.ByteUtil
7425f414de04b0a0a2ff250a9411de83f9cecedb;Rename Method;Rename Method	public lessOrEqual(bytes1 byte[], bytes2 byte[]) : boolean renamed to public lessOrEquals(bytes1 byte[], bytes2 byte[]) : boolean in class org.tron.common.utils.ByteUtil
fa762e16a7649a1436cdb6b772cfcc67e331f13c;Rename Method;Rename Method	public equal(bytes1 byte[], bytes2 byte[]) : boolean renamed to public equals(bytes1 byte[], bytes2 byte[]) : boolean in class org.tron.common.utils.ByteUtil
11cd0eb2f3540f5051d4f2e85ddf42e519b3d882;Rename Variable;Rename Variable	key : String to nameKey : String in method public addAsset(key byte[], value long) : boolean in class org.tron.core.capsule.AccountCapsule
b1e9d8e5dcd452de0766a967fe363a72fae1eb0a;Pull Up Method;Pull Up Method	public get(key byte[]) : BytesCapsule from class org.tron.core.db.DynamicPropertiesStore to public getUnchecked(key byte[]) : T from class org.tron.core.db.TronDatabase
b1e9d8e5dcd452de0766a967fe363a72fae1eb0a;Pull Up Method;Pull Up Method	public get(key byte[]) : BytesCapsule from class org.tron.core.db.WitnessScheduleStore to public getUnchecked(key byte[]) : T from class org.tron.core.db.TronDatabase
e716a96855fb372bc0ce2a3ae7b3bcb59269eb68;Rename Variable;Rename Variable	smartContract : SmartContract to createSmartContract : CreateSmartContract in method public getSmartContractFromTransaction(trx Transaction) : CreateSmartContract in class org.tron.core.capsule.ContractCapsule
e716a96855fb372bc0ce2a3ae7b3bcb59269eb68;Rename Parameter;Rename Parameter	trx : Transaction to smartContract : SmartContract in method public ContractCapsule(smartContract SmartContract) in class org.tron.core.capsule.ContractCapsule
01abafae3c1ff3b42802cd730b69a36d96200dce;Extract Interface;Extract Interface	org.tron.core.db2.core.ISession from classes [org.tron.core.db.AbstractRevokingStore.Dialog, org.tron.core.db2.core.SnapshotManager.Session]
01abafae3c1ff3b42802cd730b69a36d96200dce;Rename Method;Rename Method	public buildDialog(forceEnable boolean) : Dialog renamed to public buildSession(forceEnable boolean) : ISession in class org.tron.core.db.AbstractRevokingStore
01abafae3c1ff3b42802cd730b69a36d96200dce;Move Method;Move Method	public close() : void from class org.tron.core.db2.core.TronStoreWithRevoking to public close() : void from class org.tron.core.db.TronStoreWithRevoking
01abafae3c1ff3b42802cd730b69a36d96200dce;Move Method;Move Method	public reset() : void from class org.tron.core.db2.core.TronDatabase to public reset() : void from class org.tron.core.db2.common.LevelDB
5b15ffdb91c8219b39e510789d3e39687b52d19c;Rename Variable;Rename Variable	newContractAddress : byte[] to contractAddress : byte[] in method private create() : void in class org.tron.common.runtime.Runtime
5b15ffdb91c8219b39e510789d3e39687b52d19c;Extract And Move Method;Extract And Move Method	public setContractAddress(contractAddress byte[]) : void extracted from private create() : void in class org.tron.common.runtime.Runtime & moved to class org.tron.common.runtime.vm.program.ProgramResult
5b15ffdb91c8219b39e510789d3e39687b52d19c;Extract And Move Method;Extract And Move Method	public generateContractAddress(trx Transaction) : byte[] extracted from private create() : void in class org.tron.common.runtime.Runtime & moved to class org.tron.core.Wallet
ee038ec0eb3c53b80d2bd8bdf2ded43697848152;Rename Method;Rename Method	public assetBalanceEnough(name ByteString, amount long) : boolean renamed to public reduceAssetAmount(key byte[], amount long) : boolean in class org.tron.core.capsule.AccountCapsule
ee038ec0eb3c53b80d2bd8bdf2ded43697848152;Rename Method;Rename Method	public reduceAssetAmount(name ByteString, amount long) : boolean renamed to public addAssetAmount(key byte[], amount long) : boolean in class org.tron.core.capsule.AccountCapsule
37ed6773dbf58356ebaff0cf23fe4cbab5b66d49;Rename Method;Rename Method	private createCheck() : void renamed to private createCheckPoint() : void in class org.tron.core.db2.core.SnapshotManager
37ed6773dbf58356ebaff0cf23fe4cbab5b66d49;Rename Method;Rename Method	private deleteCheck() : void renamed to private deleteCheckPoint() : void in class org.tron.core.db2.core.SnapshotManager
80ed826fec49b391e9262d9202da0b50ad4ec5b6;Rename Method;Rename Method	private validParameters(idx long) : boolean renamed to private validKey(idx long) : boolean in class org.tron.core.actuator.ProposalCreateActuator
bf853adfbdc20077aa4ead5fac887f33af189f85;Extract And Move Method;Extract And Move Method	public convertToTronAddress(address byte[]) : byte[] extracted from public addStorageValue(address byte[], key DataWord, value DataWord) : void in class org.tron.common.storage.DepositImpl & moved to class org.tron.common.runtime.utils.MUtil
bf853adfbdc20077aa4ead5fac887f33af189f85;Extract And Move Method;Extract And Move Method	public convertToTronAddress(address byte[]) : byte[] extracted from public getStorageValue(address byte[], key DataWord) : DataWord in class org.tron.common.storage.DepositImpl & moved to class org.tron.common.runtime.utils.MUtil
ecaaf8d744486f08ce88b6900c93cf5945751e7c;Move Class;Move Class	org.tron.core.db2.snapshot.AbstractSnapshot moved to org.tron.core.db2.core.AbstractSnapshot
ecaaf8d744486f08ce88b6900c93cf5945751e7c;Move Class;Move Class	org.tron.core.db2.snapshot.Snapshot moved to org.tron.core.db2.core.Snapshot
ecaaf8d744486f08ce88b6900c93cf5945751e7c;Move Class;Move Class	org.tron.core.db2.snapshot.SnapshotImpl moved to org.tron.core.db2.core.SnapshotImpl
ecaaf8d744486f08ce88b6900c93cf5945751e7c;Move Class;Move Class	org.tron.core.db2.snapshot.SnapshotManager moved to org.tron.core.db2.core.SnapshotManager
ecaaf8d744486f08ce88b6900c93cf5945751e7c;Move Class;Move Class	org.tron.core.db2.snapshot.SnapshotRoot moved to org.tron.core.db2.core.SnapshotRoot
ecaaf8d744486f08ce88b6900c93cf5945751e7c;Move Class;Move Class	org.tron.core.db.TronDatabase moved to org.tron.core.db2.core.TronDatabase
ecaaf8d744486f08ce88b6900c93cf5945751e7c;Move Class;Move Class	org.tron.core.db2.database.TronStoreWithRevoking moved to org.tron.core.db2.core.TronStoreWithRevoking
b80b76253e11b38772730175b43551e268d215fe;Move Source Folder;Move Source Folder	src/main/java/org/tron/core/db2/snapshot to src/main/java/org/tron/core/db2/core
5fa2764158796cf5e52c08d8fd349f7043714498;Rename Variable;Rename Variable	deployContractBuilder : DeployContract.Builder to smartContractBuilder : SmartContract.Builder in method public packTransaction(strTransaction String) : Transaction in class org.tron.core.services.http.Util
7286ab8d81fb60708497b7acda07732d1123f0c4;Rename Method;Rename Method	public printTransationListToJSON(list List<TransactionCapsule>) : JSONArray renamed to public printTransactionListToJSON(list List<TransactionCapsule>) : JSONArray in class org.tron.core.services.http.Util
94e510a51f403749326297e6881e5b5a54086d01;Rename Method;Rename Method	public createCapsule() : void renamed to public initTest() : void in class org.tron.core.actuator.ProposalCreateActuatorTest
94e510a51f403749326297e6881e5b5a54086d01;Rename Method;Rename Method	public InvalidAddress() : void renamed to public invalidAddress() : void in class org.tron.core.actuator.ProposalCreateActuatorTest
686e461d0822fba1d993fc7c9ba48639c0de31a4;Rename Method;Rename Method	public saveNonExistentAccountTransferLimit(limit long) : void renamed to public saveWitnessPayPerBlock(pay long) : void in class org.tron.core.db.DynamicPropertiesStore
686e461d0822fba1d993fc7c9ba48639c0de31a4;Rename Method;Rename Method	public getVoteRewardRate() : double renamed to public getWitnessPayPerBlock() : long in class org.tron.core.db.DynamicPropertiesStore
686e461d0822fba1d993fc7c9ba48639c0de31a4;Rename Method;Rename Method	public getNonExistentAccountTransferMin() : long renamed to public getWitnessStandbyAllowance() : long in class org.tron.core.db.DynamicPropertiesStore
686e461d0822fba1d993fc7c9ba48639c0de31a4;Rename Method;Rename Method	public saveBlockNetUsage(blockNetUsage long) : void renamed to public saveAssetIssueFee(fee long) : void in class org.tron.core.db.DynamicPropertiesStore
686e461d0822fba1d993fc7c9ba48639c0de31a4;Rename Parameter;Rename Parameter	blockNetUsage : long to fee : long in method public saveCreateAccountFee(fee long) : void in class org.tron.core.db.DynamicPropertiesStore
686e461d0822fba1d993fc7c9ba48639c0de31a4;Rename Parameter;Rename Parameter	blockNetUsage : long to fee : long in method public saveTransactionFee(fee long) : void in class org.tron.core.db.DynamicPropertiesStore
686e461d0822fba1d993fc7c9ba48639c0de31a4;Rename Parameter;Rename Parameter	limit : long to pay : long in method public saveWitnessPayPerBlock(pay long) : void in class org.tron.core.db.DynamicPropertiesStore
686e461d0822fba1d993fc7c9ba48639c0de31a4;Rename Parameter;Rename Parameter	blockNetUsage : long to fee : long in method public saveAssetIssueFee(fee long) : void in class org.tron.core.db.DynamicPropertiesStore
686e461d0822fba1d993fc7c9ba48639c0de31a4;Move Attribute;Move Attribute	package MAINTENANCE_SKIP_SLOTS : long from class org.tron.core.db.DynamicPropertiesStore to class org.tron.core.config.Parameter.ChainConstant
