9dbd0b26,18,7,10
d3ebd8d4,148,165,31
0cf74f6e,41,9,
8095c9ef,2,13,62
d348851c,5,,
eed54013,1,201,1
d96c6f91,27,5,
9783666d,72,239,225
7c1b560d,5,14,5
f7dd8fc2,68,268,30
bb466cc5,1,4,
9ee3edf1,172,74,8
db0c692d,10,262,
501074cd,8,3,1
a807b191,,11,7
4e944464,40,3,31
47f5fbdb,54,26,
24178d1a,,,
958e33ab,19,15,2
613baeaa,22,64,27
6a62a722,131,223,8
056b8a20,26,255,15
d7e062e4,178,4,
a751a885,3,36,12
5a7d9226,,1,
a32ad5e1,,35,
16ddeff7,9,1,
e917d563,8,13,3
c7180fd4,4,6,
1ef005dc,8,284,9
02e3e5d0,64,20,18
1c5bcf28,1,8,1
43f9d5d3,4,41,2
a364bf61,,7,
f46e0ba0,1554,21,3
87a6e30e,121,60,11
f400b607,,,
4891b768,247,104,17
b903f646,,1,
48d41232,161,16,23
e23fb1cc,2,,
00e1736b,4,,
c18bbcfc,89,58,5
6f1db71d,1,2,1
b14dd5b6,,9,
ea544fa4,1,1,1
8423a6a8,5,2,
fae16785,452,64,38
02c1d626,,2,
27d96815,,2,2
10b0fc84,,1,
239fbd1e,2,1,1
28401674,5,14,2
feaee0ac,,10,
f5b6f919,,5,6
abe440be,1,4,1
472b5166,,1,3
26665eaa,5,40,
785276b4,10,,
08076eff,,9,
86974559,6,,
309551c4,3,8,3
74feb00d,8,2,1
93099159,,18,8
70203100,,4,1
a2ae4a0a,76,105,39
521fe5fc,94,44,67
70facdd1,2,10,2
8d59e5a5,5,25,1
d3a1e174,1,8,1
24149f2f,312,306,369
72a88498,15,20,1
e51aed18,106,22,1
649a7324,,1,1
2c751a30,,,
d0e2f78f,3,,
3737535d,,18,2
d1eec683,2,1,
4516671c,,,
261ca010,11,22,16
1d760067,,,1
9bcd3c84,12,2,
25341268,9,6,11
9f948c72,10,21,
9e34deed,,8,
0d607869,,1,
7f77d4db,,5,
c42bdcde,,1,
446eaa7c,254,70,37
28d733be,22,11,10
37497a55,,,
f4282f74,46,2,7
9c873e71,1,,
4d456058,,1,
474ee76e,30,4,93
70789f67,5,108,3
be7c31e6,17,9,1
c85c2f46,,2,
0a37f1fb,19,56,14
29dc091e,3,19,2
aad3b29a,8,25,20
66bed9b9,,23,
e03a70d5,,11,
d43defa4,859,448,564
63029bf4,,4,
eb5b86d8,,28,
990540fc,,8,
85104efe,6,26,1
a51ed04b,,4,
4015924e,8,13,7
3fc859bd,,2,
a3fbc3c7,,,
6b8b773e,2,14,
d05202a0,,2,
3342e96d,,12,1
b41b06e3,64,53,78
b63017c9,,,
0e64cd43,3,14,4
47770498,2,,26
2eacae43,7,41,1
6b2533af,,2,
caef427d,,,
58bd9df7,11,2,
b4b13dde,50,273,45
263724a5,2,17,5
f8a63c68,5,20,
5c3e39af,6,6,
4528abdf,2,13,
8a3bc2c3,2,2,1
ebdfb26c,,2,
ac4a2712,7,5,
abd57b22,44,68,16
afce8a28,,3,
a1440501,1,5,
7478fa7c,14,38,17
8bc17b8e,,,2
c5aa7bf8,8,43,4
34a85713,,,
9bd0d777,1,2,
790619f4,1,1,2
1921764e,1,,
e11cb10f,,4,
c4f3611b,,2,
ea9944b8,1,2,
843214d5,,,
0d05000d,19,,
87b22729,3,6,2
fceffbbc,1470,16,11
d723643d,,1,
e0ab8734,4,2,
c2b47df9,,3,
7e67a451,,,
cd10b5f2,,6,
a725be1f,,,
f4b5c184,3,,1
4cb33ccc,,,2
bc61b8d0,9,4,6
4119f41d,1,,
bbee835c,25,4,
8e5fd5d7,2,4,2
70440361,2,,
32003845,9,3,
9cae056f,1,3,
9966f79c,,,
ca4773b3,,,
964a3510,2,,14
8c900c0c,3,2,4
39b71e51,1,5,2
be01e6f8,1,1,
463326e7,,3,2
76caec80,1,3,1
bc8faecf,14,,
596dc21b,5,3,8
2e787e9d,1,7,
60b716db,10,17,3
5745f76a,1,5,
d986edc3,7,3,
43789edf,4,5,17
a0341bfc,,2,
e2674dea,1,17,
2655cb24,1,6,
8fa8259a,,3,2
a49ee829,2,7,
a68a6965,,15,1
1df147a5,1,2,
79051b43,2,3,4
ffb975ec,,1,4
0290450b,,2,2
46e33462,4,32,3
9fa65b4d,6,20,4
1c5d4836,1,5,1
11f17ca0,,2,
17559d13,,8,1
87d43270,,,
bbe345bd,13,30,15
3518278a,10,2,
6b038843,,1,
e894212a,2,11,
af29cd90,6,18,4
95c27c29,,2,
4ab735a5,,64,1
5f968fcc,1,26,7
bbff074e,,1,
e8724486,16,27,48
