sha,Positive,Negative,Final,new,total
0681dae2a00f5c24669c9c61b266b6dcc1b4d404,1,-1,0,,
74342b4e2765d956f01c9f18aa7b9292930d5c02,1,-1,0,,
45b5ee0d36ba7032fcbf009a625b249cdcd61800,1,-1,0,,
455d4469df0058b9c86f4aeca1c6816188363c0c,1,-1,0,,
02501fb05b81a16c2d91407ab6ce3fc398df0515,1,-1,0,,
3284f5ddf4467ab9496317c7fffb1953fa736372,1,-2,-1,,1
b16274ce5ea3af055ba5c9910921eb2cae467096,1,-1,0,,
70c2854c50ac3f331736a12bc4bc198e7dc682f0,1,-1,0,,
9ee3edf19dd1d9c6c164e471aaa9d8dfde098034,1,-1,0,172,
0aab93747ba3d3c3b59d5b0ed687283ebffd923b,1,-1,0,,
5a10bf967c9f1a82394fdb81280842a9f59ad431,1,-1,0,,
1d79c7d0ff8d20174de67c74913191f2bf32f3dd,1,-1,0,,
55a5efb2fbbb905276136153e5da2b5c53610107,1,-1,0,,
18c02a88c35cb8b7f442be870b32197235d97436,1,-1,0,,
71cf289fb4cad8ee6433d9acf0594961f1390b23,1,-1,0,,
c5f97e9d84be276a6a0ecccfaca83be9db7e645c,1,-1,0,,
967747f4b20c55a32a60cc1b24a16da47f57b24b,1,-1,0,,
db0c692d301f9d84bcbe7f6a420f06d4d1cd0997,1,-1,0,10,
02077b22510db255b6bb4524ddf4d262744702e3,1,-1,0,,
64a7fd2bfd4ce8125177e7773bbdb85482029127,1,-1,0,,
590bcec11af54bb9f3e93710d0f77b533ca8cb0d,1,-1,0,,
9150f85f6385edf8879e2856eb2f71d7d5a68f6f,1,-1,0,,
598aec02cd79908855196342db8a95cc035a9fa2,1,-1,0,,
04d18414c2b46a9f770224f027009ad6685957e8,1,-1,0,,
501074cd7b164d503c3002070514e5e47eba7b92,1,-1,0,8,
8dc736e247ab4acd68696f96b6fd4a97835c4e3e,1,-1,0,,
9a354fd211aeb9590021bfb4c943594a9a5ba573,1,-1,0,,
154a5476477bdce389885b02ae05bbe153eebdb5,1,-1,0,,1
cb77db7db3cb82be0977a9ad6e28cf0f1fece06c,1,-1,0,,
