b20a3a10,25,,
460a317e,24,,
5a44224f,,16,1
0bf46b81,56,,
266c2855,11,4,
a81bd92c,18,,
2e1949b8,3,2,2
ad400408,7,,
5a8e4a75,13,,
30eeb098,1,,1
19fb7ef5,19,,
b34473eb,27,,
2ed8ad2e,70,,
6549e41a,17,,
48b8d2c8,32,,
5b00f0e0,,6,
1de8475a,3,,
757f6344,11,,
de06e4f6,8,,
70b5e9b4,,6,1
c8ad201c,39,,
43365351,3,6,3
66d6856d,26,,
489e3186,29,,
8da5252b,11,,
028a8224,14,,
01ff4b53,39,,
9734a47e,11,,
8441d41f,2,2,
efa0bcaf,,12,3
8755eb18,1,6,
8855a45d,76,,
86e8493b,19,,
2840347d,18,,
8cb62256,25,,
b8d9a186,27,,
606bc36b,,,
f0c31558,,1,
b52e9086,18,,
e87a3791,,,2
67358e8e,,,
94fc6997,,,2
d70fbdc2,3,8,
b2eaf0af,,2,
9b161568,4,,
8a4dbf24,,,1
7ead9b7c,,,
ac9651c7,34,,
d02147c7,10,,
7eb74160,18,,
4c0a39a3,,,
2b50c4c3,22,,
d9e4ec2d,3,,
69cd5cf4,2,,
b5086898,34,,
a526bed5,9,,
4d089155,5,,
24acf35b,13,,
510ad19f,53,,1
3ad0cb69,40,,
6fdfc3c4,32,,
ade15ea8,29,,
e6360db3,13,,
6a9ad8c1,43,,
f50d111c,,,
9bbbe544,1,,1
95a37ccc,20,,
dffd5fd9,,,
0961f115,42,,
41a377a4,,,3
89f1c272,45,,
c5fadb51,8,,
bce01cff,6,,
9667f061,10,,
42d3de85,16,2,10
00b3a514,,6,
71ec77b6,,11,
36a7ed48,56,,2
00c02238,,,
4526bb6a,27,,
c7f9792d,29,,
1bb98e49,37,,
5d66bb29,23,,
2df20b01,,5,
13363523,,,
b3468994,,5,
103e6b69,7,,
2028662c,1,,
b97310a1,,,1
698e7815,,,
8d633d64,,,
5fd8e429,,,2
4a489e4a,,,34
d2a2a655,7,,6
7cc57756,,4,2
358f836e,,,
535656ee,1,8,
84a9b2e0,,3,1
5c6565b0,8,,
09bb65a8,26,,
25a118de,16,,
d9fddbde,1,1,1
5c181c4b,10,7,7
07111d1e,,1,
9801a085,29,,
2c8473a7,31,,
1f27c9de,12,,
487864a2,54,,
ba97c27c,8,,
56a6e06b,35,,
a6d3ddd3,3,2,11
c404d780,21,,
83b07719,3,,
87f7a2a6,37,,
