sha,Positive,Negative,Final,new,total
9a3311506e5aa9ffd4bfa58c47ec22c37a0d5599,1,-1,0,0,
8a85761500238893ca35bfa42a3601ef15447018,1,-1,0,1,
c3637ff42c53e65f65bf629657638736ce102e28,2,-2,0,0,
030318e53cb2ba59a746933489b8f060040a0766,1,-2,-1,0,2
19d1f4ea628d5042ea93856d286cb31b453beda0,2,-2,0,5,
4d6b006fe64059b6b9eba9fbb835dc4a22d33393,1,-2,-1,3,
583fc272f26373ff5f51c0871d9730370cd39a3e,1,-1,0,1,
88f0586a7e89a4e35e0011bdf607b3192bfe7b5f,1,-2,-1,5,7
987c443888ce2c47144ce0130c25b356416e2925,1,-1,0,0,
7727649b2ca08010118a8c57b2c0a5702cf876f2,1,-1,0,6,
8ae126aaa81491527dfd03cf725a8e60eeb9ed96,1,-1,0,0,
19e7b4438fd5674c893ac918a1f1c0ef3910ed82,1,-1,0,,
c3d29f7b9ef138aecaff8b1c6cd631d742d6b22a,2,-2,0,1,
546ddd2c2899b8e410ddfac6b3987d4108b65c17,3,-2,1,4,
47985c11c1d9f11b94018539108ed65f0c6a32ab,1,-2,-1,1,
0bce0450c05697df6ff77a0a14183ee53a00053f,1,-2,-1,3,
932d77b83e33087bfa5e74a14db2730615ab2d93,1,-1,0,7,
69c644bb9823eace6c7974c497689b41e6c06a4b,1,-2,-1,2,
ed54ab034dcc444dffbcaaa5675c39abc0cfbff3,1,-2,-1,0,
1d09efeeb2535869cd0eaf3e1b239273e239c817,1,-1,0,2,
85e2987719fb6e196feb13a21560cc1ea589e24a,1,-2,-1,,
3d2e231794fea07a183e328061cb1d77fccebe82,1,-1,0,,
30a02b441aa967bf1cf9ae8dc9feb8a8ce5090df,1,-3,-2,1,
09d9daf1c4656d86dd88b89b7b9e55bdf6913092,1,-2,-1,0,
64bb279f47a0b102b3c70df2f7565df8be394bf4,1,-1,0,,
c67a3b0507d847a9f01c886b944ced015245ecc9,1,-1,0,,
dc0cf3e099a8f1f4a74cbf114afabaa5ba3eee4f,1,-1,0,0,
c990c121ea9d8902c2c11aa4e2c6886f47e1cf86,3,-2,1,,
cff87de44cfaa4544360715dc83e5ad1aa2c0bd7,1,-1,0,0,
5256d173635e08fd5f65b73e871a55544468f03e,1,-1,0,,
369d64c3e6050b5f006c359523a60fcc15eb6110,2,-1,1,4,1
cbe9ed8cc1d25868d7d0236e250332ed7434ca50,1,-1,0,2,
f01a590154f05247ce39bc218880bf0510c6508f,1,-2,-1,1,
a0ed6ec06ca605ed39b601355daedace93828032,2,-2,0,2,
437849bd93ccf83782f7081e0a76e88277064758,1,-1,0,0,
18b170bd7ad91153692af6830b7b1afb13835638,1,-1,0,0,
54c3de0f8aa9e4eb2c95a368dcaa0b8cbb48403b,1,-1,0,2,
d03bd44e9d79e8b73eea137c2e0373ed0a06f31e,1,-1,0,1,
358249e5c9b3f832ae88b3ae9cf9f692106d4cc6,2,-2,0,4,
b83328606fdb7782eae7f26425a189f1a99bfbac,1,-1,0,5,
a598c3b69b55f930b91a8265f42d1a3cceb75ddd,2,-2,0,1,
095dadcbec7cd056ea1c0947d57d9084fae6d897,1,-2,-1,0,
c60263e8a3336aae182fdde2dd0202a667cba880,1,-1,0,3,
bd800fa7e7065dd74125f34298b69bb279f4be8e,1,-1,0,1,
0261e0066216358b8acd390da96c85aaa8713b91,1,-1,0,5,
b5fde3e0cdddfa96d65e85c3699e7ac8f0fd3ebc,2,-1,1,,
dfeb4b15b587bf5298555e969a01378853efab8f,1,-1,0,0,
c0ae5e697c3c4fdf81f0cfc199d18aacd3b8ecba,1,-2,-1,6,1
b818852cdb0ee56ce3cf939e2faa538d519baabd,1,-1,0,10,
f4d7e8de140048047299808bb7e707c15342b826,3,-2,1,12,5
eaf177133638b528a8d644b7d0bf3665cd90a18c,1,-1,0,0,
b47fb817991b42ec8808c7d26538f3f2464e1fa6,1,-2,-1,17,
010dbe3c734aff7b400c7be8666e5f0c055fca62,1,-2,-1,1,
1b1f7677acec6a5ae06a552adc4c046b2ce2490d,1,-2,-1,5,
48fe14402a98ed600fa14348984e688af725561c,2,-1,1,,
f9604eeff5019219ea2895556309735bb27077fe,1,-2,-1,2,
b75f44db9a0d5255815bff076fe54dec72176ca5,1,-1,0,,
04fac00c8c98ed26c5a75887c8e7e53b1e1b68d0,1,-1,0,,
