CommitId;RefactoringType;RefactoringDetail
855153e7855f5aa1ebc3381126d0c6cc7cbf9628;Extract Method;Extract Method	package drain() : void extracted from package drainLoop() : void in class io.reactivex.internal.operators.observable.ObservableWindowBoundary.WindowBoundaryMainObserver
855153e7855f5aa1ebc3381126d0c6cc7cbf9628;Rename Method;Rename Method	package drainLoop() : void renamed to package drain() : void in class io.reactivex.internal.operators.observable.ObservableWindowBoundarySupplier.WindowBoundaryMainObserver
a267d7efdfe58b5727b5af22070ba3d953fe060a;Rename Method;Rename Method	public onECompleteOnTimeoutRace() : void renamed to public onCompleteOnTimeoutRace() : void in class io.reactivex.internal.operators.flowable.FlowableTimeoutWithSelectorTest
0ea2c957d753abd95bab725a29dcdb0356697a85;Move Class;Move Class	io.reactivex.internal.operators.flowable.FlowableReplay.MultiCastPublisher.DisposableConsumer moved to io.reactivex.internal.operators.flowable.FlowableReplay.MulticastFlowable.DisposableConsumer
eb426fd01df975f65fdbca9e5effa88d5e0200e7;Move Attribute;Move Attribute	package done : boolean from class io.reactivex.internal.operators.flowable.FlowableBufferBoundary.BufferCloseSubscriber to class io.reactivex.internal.operators.flowable.FlowableBufferBoundary.BufferBoundarySubscriber
eb426fd01df975f65fdbca9e5effa88d5e0200e7;Move Attribute;Move Attribute	package done : boolean from class io.reactivex.internal.operators.observable.ObservableBufferBoundary.BufferCloseObserver to class io.reactivex.internal.operators.observable.ObservableBufferBoundary.BufferBoundaryObserver
eb426fd01df975f65fdbca9e5effa88d5e0200e7;Move Attribute;Move Attribute	package done : boolean from class io.reactivex.internal.operators.flowable.FlowableBufferBoundary.BufferCloseSubscriber to class io.reactivex.internal.operators.flowable.FlowableBufferBoundary.BufferBoundarySubscriber
eb426fd01df975f65fdbca9e5effa88d5e0200e7;Move Attribute;Move Attribute	package done : boolean from class io.reactivex.internal.operators.observable.ObservableBufferBoundary.BufferCloseObserver to class io.reactivex.internal.operators.observable.ObservableBufferBoundary.BufferBoundaryObserver
eb426fd01df975f65fdbca9e5effa88d5e0200e7;Move Attribute;Move Attribute	package done : boolean from class io.reactivex.internal.operators.flowable.FlowableBufferBoundary.BufferCloseSubscriber to class io.reactivex.internal.operators.flowable.FlowableBufferBoundary.BufferBoundarySubscriber
eb426fd01df975f65fdbca9e5effa88d5e0200e7;Move Attribute;Move Attribute	package done : boolean from class io.reactivex.internal.operators.flowable.FlowableBufferBoundary.BufferOpenSubscriber to class io.reactivex.internal.operators.flowable.FlowableBufferBoundary.BufferBoundarySubscriber
eb426fd01df975f65fdbca9e5effa88d5e0200e7;Move Attribute;Move Attribute	package done : boolean from class io.reactivex.internal.operators.observable.ObservableBufferBoundary.BufferCloseObserver to class io.reactivex.internal.operators.observable.ObservableBufferBoundary.BufferBoundaryObserver
eb426fd01df975f65fdbca9e5effa88d5e0200e7;Move Attribute;Move Attribute	package done : boolean from class io.reactivex.internal.operators.observable.ObservableBufferBoundary.BufferOpenObserver to class io.reactivex.internal.operators.observable.ObservableBufferBoundary.BufferBoundaryObserver
eb426fd01df975f65fdbca9e5effa88d5e0200e7;Inline Method;Inline Method	package complete() : void inlined to public onComplete() : void in class io.reactivex.internal.operators.flowable.FlowableBufferBoundary.BufferBoundarySubscriber
eb426fd01df975f65fdbca9e5effa88d5e0200e7;Inline Method;Inline Method	public dispose() : void inlined to public cancel() : void in class io.reactivex.internal.operators.flowable.FlowableBufferBoundary.BufferBoundarySubscriber
eb426fd01df975f65fdbca9e5effa88d5e0200e7;Inline Method;Inline Method	package complete() : void inlined to public onComplete() : void in class io.reactivex.internal.operators.observable.ObservableBufferBoundary.BufferBoundaryObserver
7ba9a3e04aeee3ab691002997e82e55fec40e495;Extract Superclass;Extract Superclass	io.reactivex.subjects.SubjectTest from classes [io.reactivex.subjects.AsyncSubjectTest, io.reactivex.subjects.BehaviorSubjectTest, io.reactivex.subjects.PublishSubjectTest, io.reactivex.subjects.ReplaySubjectTest, io.reactivex.subjects.UnicastSubjectTest]
7ba9a3e04aeee3ab691002997e82e55fec40e495;Pull Up Method;Pull Up Method	public onNextNull() : void from class io.reactivex.subjects.AsyncSubjectTest to public onNextNull() : void from class io.reactivex.subjects.SubjectTest
7ba9a3e04aeee3ab691002997e82e55fec40e495;Pull Up Method;Pull Up Method	public onErrorNull() : void from class io.reactivex.subjects.AsyncSubjectTest to public onErrorNull() : void from class io.reactivex.subjects.SubjectTest
7ba9a3e04aeee3ab691002997e82e55fec40e495;Pull Up Method;Pull Up Method	public onNextNull() : void from class io.reactivex.subjects.BehaviorSubjectTest to public onNextNull() : void from class io.reactivex.subjects.SubjectTest
7ba9a3e04aeee3ab691002997e82e55fec40e495;Pull Up Method;Pull Up Method	public onErrorNull() : void from class io.reactivex.subjects.BehaviorSubjectTest to public onErrorNull() : void from class io.reactivex.subjects.SubjectTest
7ba9a3e04aeee3ab691002997e82e55fec40e495;Pull Up Method;Pull Up Method	public onNextNull() : void from class io.reactivex.subjects.PublishSubjectTest to public onNextNull() : void from class io.reactivex.subjects.SubjectTest
7ba9a3e04aeee3ab691002997e82e55fec40e495;Pull Up Method;Pull Up Method	public onErrorNull() : void from class io.reactivex.subjects.PublishSubjectTest to public onErrorNull() : void from class io.reactivex.subjects.SubjectTest
7ba9a3e04aeee3ab691002997e82e55fec40e495;Pull Up Method;Pull Up Method	public onNextNull() : void from class io.reactivex.subjects.ReplaySubjectTest to public onNextNull() : void from class io.reactivex.subjects.SubjectTest
7ba9a3e04aeee3ab691002997e82e55fec40e495;Pull Up Method;Pull Up Method	public onErrorNull() : void from class io.reactivex.subjects.ReplaySubjectTest to public onErrorNull() : void from class io.reactivex.subjects.SubjectTest
