b083ed66,2,,2
70d88286,1,19,
596c6c0c,,14,
ac79d490,2,,
c19213ab,20,99,37
c3e7c0bc,,36,10
aa487912,2,,
814fbe0f,1,35,8
e09d6d79,,,
495c78db,1,,1
08a4cda3,1,15,1
c8c3a7dc,1,17,3
061885e9,5,31,
a9325201,2,3,
42af41d5,,20,7
7fc7136f,57,96,16
1d9a4272,1,,
487b9545,1,24,1
c83ecf4c,4,9,1
4b60ed32,,,
d11f6f26,11,22,3
ee0c2cee,,6,
5d2bf632,2,1,
75825cae,1,,
980b725b,,1,
be02dbe2,,10,
82f124ae,20,57,5
96c53e96,7,2,
284b46b7,19,13,2
2f6240ac,2,7,17
06d96628,3,18,34
0875ddeb,7,15,3
8c47a3e5,10,34,1
08fe24b4,7,,1
07647c2a,1,,
ba8fb6ec,,,
8119683a,6,3,
1f8527b3,5,11,3
e38e3a66,7,26,3
8250738a,2,3,
64fff8bf,10,42,3
57320981,1,,
18181ca9,,1,
d44d5d75,5,1,1
7947c941,,,
053d8319,,,
919409bb,6,25,12
24b3844f,,3,
6bfaf4dc,,,
be0f10e1,,1,
daa8082d,6,,
b2ed7d80,,,
51935ee2,7,26,2
7a74ec62,,32,
b054789d,,,
2f36da17,,12,
954be11b,12,6,17
624acc63,1,2,
418a91b5,,9,2
d3e264e7,9,35,5
6732593b,6,62,15
e5ec3f55,8,1,
410e00cb,4,,
d2b84bd4,2,,
3afe2ed8,2,,
cc4dce94,,7,16
e8955f73,10,16,1
347b37e3,,3,1
1354371d,122,41,15
68106171,2,,
d06da1b7,5,4,
be846d83,1,2,
f0282cb3,,2,
239dd0fb,1,1,
fab8b7e6,,2,
f2cb8523,7,1,
a8c17e36,3,9,8
339fc237,12,15,1
642a9778,2,17,2
0dfa53c4,3,1,
9a71bfb9,2,,
443091b8,16,147,8
ff96d574,,31,2
ce7fe8fe,,1,
c903d576,4,4,
301474f0,,,1
de4f4f53,4,70,10
22356d55,,2,
70e13f03,1,1,
53ca52f8,1,7,
a5924025,1,,
16190e9b,,4,
40f63eb9,24,16,1
7a590612,4,6,6
4580d9f1,2,5,7
f0b1b464,,2,1
d98ec333,15,20,6
3face7fc,17,4,
ee5cc974,3,3,1
cc4157d8,,2,
49db5a63,8,53,16
a4c29217,,,22
74bdafe3,6,108,8
d2b2fbdf,,,
0b3989fd,4,2,
bb260e92,,2,1
b4fa87cc,36,41,
22612be4,4,1,
aa014b27,,,
642a0916,4,1,
15096799,5,,
f54acdbb,3,1,
0eddddb8,1,21,7
594a0e1a,,,
8264492d,1,,
b3aa655a,55,14,5
0c035c46,,,
faa15b8b,32,50,26
ba0ebca7,2,1,3
7c69de42,,,
ef413699,3,1,1
ba5fd3c8,7,1,
8a166f8c,5,22,1
9df3872f,2,1,
6f9f3655,20,40,3
718d6f24,,,
d02f0213,8,30,6
0cacbcf3,1,,
adec6d6e,,,1
73e2cbbd,2,4,
cb2f024f,2,22,1
e24916a6,,1,
837f31dd,49,56,4
d166485b,39,53,18
3683d475,,5,2
08e8facd,90,96,3
f33e9a34,16,39,9
f8dfbb06,167,46,2
14171fa8,,,
2b6630b5,,,
1facab38,23,159,43
f24a62d4,3,4,2
98094954,42,11,
fffb9c5b,29,,
a64ab912,10,7,2
3a8d3a79,,2,
8bf20bb5,,1,
c470ff70,35,180,15
8c5d7e04,352,17,1
7f19df29,3,25,1
c9ec2921,1,,
70f0d0bd,6,,
ff9f928c,,6,
0f86e688,6,7,7
133108cd,29,80,3
7ecfbab9,,3,
5be47a2f,2,,
c1b30a12,6,18,2
a30ecc67,,18,50
6281fbcb,1,17,6
193c7796,,1,
e70a191d,,6,
95b46a12,1,,
70a506b9,2,5,
16ad358d,15,15,20
9752ccad,1,4,
f65f3a87,,,
4e1c8ffd,52,8,5
05ea5800,,,
ee8abb2f,6,8,1
58a910f0,1,78,11
ba237c5d,,,
6b8e79b1,,,
1a324d78,2,106,8
e9154b79,,,
1e207b2e,6,20,1
9947cd40,7,33,
adeced29,,1,
caca1fdc,6,26,230
6eb7cf13,,4,
c3921d48,1,1,1
a5ea6d10,,15,
f69900cd,,,
c90bbc27,,,
fa1702fe,,14,13
4f7c11a1,4,2,
9679c44d,2,8,2
0b1a118f,2,51,82
8fb5b370,,,
abbd53da,19,37,2
e32dcb9a,,,
5ca9ed5e,2,,
0ecb72f5,4,8,
7afcb3a6,11,12,
fcb15e35,2,,
b328fc72,,,
2b5a5940,8,121,143
55dd9709,3,10,1
42771eb3,,37,42
32e97b1d,,13,
6f641fef,7,152,119
564311f5,1,4,3
f448e49f,17,7,
2d8049b7,20,83,1
af983267,26,244,43
515ce21c,27,,
6dbd9b59,,,
04a70bd3,,2,
1b170df3,13,20,
31ce3a27,,,
